2026-05-14 11:15:47 | INFO     | bot:on_startup:16 | Starting bot...
2026-05-14 11:15:47 | INFO     | bot:connect:19 | Database connected
2026-05-14 11:21:50 | INFO     | bot:on_startup:16 | Starting bot...
2026-05-14 11:21:50 | INFO     | bot:connect:19 | Database connected
2026-05-14 11:24:33 | INFO     | bot:on_startup:16 | Starting bot...
2026-05-14 11:24:33 | INFO     | bot:connect:19 | Database connected
2026-05-14 11:24:34 | INFO     | bot:on_startup:36 | Polling mode
2026-05-14 11:25:29 | INFO     | bot:start_handler:19 | User 5557955876 started the bot
2026-05-14 11:25:52 | INFO     | bot:handle_url:32 | Download request from 5557955876: youtube - https://youtu.be/uZGDO0L-Dr4?si=joORc-kXQCJ7Bkkc
2026-05-14 11:25:53 | INFO     | bot:add_task:29 | Task fc75ccf1 queued for user 5557955876: https://youtu.be/uZGDO0L-Dr4?si=joORc-kXQCJ7Bkkc (queue: 1)
2026-05-14 11:29:38 | DEBUG    | bot:delete_file:28 | Deleted temp file: downloads\uZGDO0L-Dr4.f251.webm
2026-05-14 11:33:32 | INFO     | bot:on_shutdown:40 | Shutting down...
2026-05-14 17:42:47 | INFO     | bot:on_startup:16 | Starting bot...
2026-05-14 17:42:47 | INFO     | bot:connect:19 | Database connected
2026-05-14 17:42:47 | INFO     | bot:on_startup:36 | Polling mode
2026-05-14 17:45:31 | INFO     | bot:on_startup:16 | Starting bot...
2026-05-14 17:45:31 | INFO     | bot:connect:19 | Database connected
2026-05-14 17:45:32 | INFO     | bot:on_startup:36 | Polling mode
2026-05-14 17:45:53 | INFO     | bot:handle_url:36 | Download request from 5557955876: youtube - https://youtu.be/uZGDO0L-Dr4?si=joORc-kXQCJ7Bkkc
2026-05-14 17:47:19 | INFO     | bot:on_shutdown:40 | Shutting down...
2026-05-14 17:47:54 | INFO     | bot:_migrate_schema:84 | Schema migration: ALTER TABLE users ADD COLUMN video_resolution TEXT DEFAULT '
2026-05-14 17:47:54 | INFO     | bot:_migrate_schema:84 | Schema migration: ALTER TABLE users ADD COLUMN audio_bitrate TEXT DEFAULT '192
2026-05-14 17:47:54 | INFO     | bot:_migrate_schema:84 | Schema migration: ALTER TABLE downloads ADD COLUMN file_id TEXT
2026-05-14 17:47:54 | INFO     | bot:connect:19 | Database connected
2026-05-14 17:48:05 | INFO     | bot:connect:19 | Database connected
2026-05-14 17:48:13 | INFO     | bot:on_startup:16 | Starting bot...
2026-05-14 17:48:13 | INFO     | bot:connect:19 | Database connected
2026-05-14 17:48:14 | INFO     | bot:on_startup:36 | Polling mode
2026-05-14 17:49:17 | INFO     | bot:on_startup:16 | Starting bot...
2026-05-14 17:49:17 | INFO     | bot:connect:19 | Database connected
2026-05-14 17:49:18 | INFO     | bot:on_startup:36 | Polling mode
2026-05-14 17:49:29 | INFO     | bot:handle_url:36 | Download request from 5557955876: youtube - https://youtu.be/uZGDO0L-Dr4?si=joORc-kXQCJ7Bkkc
2026-05-14 17:49:37 | INFO     | bot:add_task:29 | Task 00985615 queued for user 8534651168: https://youtu.be/uZGDO0L-Dr4?si=joORc-kXQCJ7Bkkc (queue: 1)
2026-05-14 17:50:29 | INFO     | bot:upload_to_log_channel:97 | Cached file_id BQACAgUAAyEGAATgOWwP for ec03d9828a1360f1
2026-05-14 17:50:30 | DEBUG    | bot:delete_file:181 | Deleted temp file: downloads\uZGDO0L-Dr4.f251.webm
2026-05-14 17:51:12 | INFO     | bot:on_shutdown:40 | Shutting down...
2026-05-14 17:56:26 | INFO     | bot:_migrate_schema:84 | Schema migration: ALTER TABLE users ADD COLUMN video_resolution TEXT DEFAULT '
2026-05-14 17:56:26 | INFO     | bot:_migrate_schema:84 | Schema migration: ALTER TABLE users ADD COLUMN audio_bitrate TEXT DEFAULT '192
2026-05-14 17:56:26 | INFO     | bot:_migrate_schema:84 | Schema migration: ALTER TABLE downloads ADD COLUMN file_id TEXT
2026-05-14 17:56:26 | INFO     | bot:connect:19 | Database connected
2026-05-14 17:56:28 | INFO     | bot:initialize:28 | Temp directory ready: C:\Users\Rahul\AppData\Local\Temp\tg-media-bot
2026-05-14 17:57:00 | INFO     | bot:on_startup:17 | Starting bot...
2026-05-14 17:57:00 | INFO     | bot:connect:19 | Database connected
2026-05-14 17:57:00 | INFO     | bot:initialize:28 | Temp directory ready: C:\Users\Rahul\AppData\Local\Temp\tg-media-bot
2026-05-14 17:57:01 | INFO     | bot:on_startup:38 | Polling mode
2026-05-14 17:59:07 | INFO     | bot:handle_url:36 | Download request from 5557955876: instagram_reel - https://www.instagram.com/reel/DWI7tLBpBk1/?igsh=YTFnd2VvN2F
2026-05-14 17:59:08 | INFO     | bot:add_task:29 | Task eb1ada4a queued for user 5557955876: https://www.instagram.com/reel/DWI7tLBpBk1/?igsh=YTFnd2VvN2F (queue: 1)
2026-05-14 17:59:25 | INFO     | bot:upload_to_log_channel:103 | Cached file_id CQACAgUAAyEGAATgOWwP for 414b0583848a3a3f
2026-05-14 17:59:26 | DEBUG    | bot:delete_file:187 | Deleted temp file: C:\Users\Rahul\AppData\Local\Temp\tg-media-bot\DWI7tLBpBk1.fdash-1256800142588730a.m4a
2026-05-14 18:00:35 | INFO     | bot:on_shutdown:42 | Shutting down...
2026-05-14 18:01:25 | INFO     | bot:on_startup:17 | Starting bot...
2026-05-14 18:01:25 | INFO     | bot:connect:19 | Database connected
2026-05-14 18:01:25 | INFO     | bot:initialize:28 | Temp directory ready: C:\Users\Rahul\AppData\Local\Temp\tg-media-bot
